MagicCards.info	Trader	MWS	Gatherer	Expansion	Core	Block	Date
15ann	?	?	?	15th Anniversary	No	?	?
gpx	?	?	?	Grand Prix	No	?	?
pro	?	?	?	Pro Tour	No	?	?
mgdc	?	?	?	Magic Game Day Cards	No	?	?
wrl	?	?	?	Worlds	No	?	?
drc	?	?	?	Dragon Con	No	?	?
ptc	?	?	?	Prerelease Events	No	?	?
rep	?	?	?	Release Events	No	?	?
mlp	?	?	?	Magic: The Gathering Launch Parties	No	?	?
mss	?	?	?	Magic Scholarship Series	No	?	?
grc	?	?	?	Gateway	No	?	?
cp	?	?	?	Champs	No	?	?
thgt	?	?	?	Two-Headed Giant Tournament	No	?	?
jsr	?	?	?	Junior Series	No	?	?
ajs	?	?	?	APAC Junior Series	No	?	?
arena	?	?	?	Arena League	No	?	?
fnmp	?	?	?	Friday Night Magic	No	?	?
mprp	?	?	?	Magic Player Rewards	No	?	?
sus	?	?	?	Super Series	No	?	?
hho	?	?	?	Happy Holidays	No	?	?
jr	?	?	?	Judge Gift Program	No	?	?
pot	?	?	?	Portal Demogame	No	?	?
euro	?	?	?	European Land Program	No	?	?
guru	?	?	?	Guru	No	?	?
apac	?	?	?	Asia Pacific Land Program	No	?	?
wotc	?	?	?	WotC Online Store	No	?	?
uqc	?	?	?	Celebration Cards	No	?	?
mbp	?	?	?	Media Inserts	No	?	?
